id,cpu_capacity,cpu,mem_capacity,mem,disk_capacity,disk,bandwidth,running_task,labels
79,16,16,4096,3584.0,40960,14096.332479061908,100,7,"['GBE', 'SSD', 'TPU']"
80,12,12,8192,7168.0,81920,60239.68836768044,100,6,"['SSD', 'RAM', 'NPU']"
81,16,16,8192,7168.0,81920,69606.32855574496,100,1,"['GBE', 'HDD', 'NPU']"
82,16,16,8192,7168.0,81920,17854.559796148467,100,9,"['GBE', 'HDD', 'GPU']"
83,12,12,4096,3584.0,40960,13742.49702729698,100,20,"['HDD', 'GBE', 'NPU']"
84,12,12,8192,7168.0,81920,4099.724103925182,100,19,"['RAM', 'CPU', 'GPU']"
85,12,12,4096,3584.0,40960,12589.74392635982,100,20,"['CPU', 'SSD', 'TPU']"
86,12,12,8192,7168.0,81920,42490.70838007847,100,12,"['GBE', 'SSD', 'TPU']"
87,16,16,4096,3584.0,40960,1509.7960745187675,100,17,"['SSD', 'RAM', 'GPU']"
88,12,12,8192,7168.0,81920,45946.26952573359,100,6,"['GBE', 'CPU', 'NPU']"
89,12,12,8192,7168.0,81920,35448.13476527998,100,13,"['CPU', 'RAM', 'GPU']"
90,40,40,16384,14336.0,163840,150854.29509586433,100,9,"['RAM', 'GBE', 'TPU']"
91,40,40,32768,28672.0,327680,25083.58521892267,100,11,"['HDD', 'RAM', 'TPU']"
92,40,40,32768,28672.0,327680,60480.475066871186,100,19,"['GBE', 'SSD', 'TPU']"
93,32,32,16384,14336.0,163840,70959.20216934831,100,15,"['SSD', 'CPU', 'NPU']"
94,40,40,16384,14336.0,163840,43008.880596748146,100,7,"['SSD', 'HDD', 'GPU']"
95,40,40,16384,14336.0,163840,161171.71840375592,100,15,"['GBE', 'RAM', 'NPU']"
96,40,40,32768,28672.0,327680,102096.69174826435,100,4,"['SSD', 'HDD', 'NPU']"
97,32,32,16384,14336.0,163840,5824.564083529785,100,17,"['RAM', 'CPU', 'GPU']"
98,40,40,32768,28672.0,327680,83060.6368438634,100,14,"['CPU', 'HDD', 'NPU']"
99,32,32,32768,28672.0,327680,96783.31504077774,100,10,"['CPU', 'HDD', 'GPU']"
100,32,32,32768,28672.0,327680,159586.0074465364,100,18,"['SSD', 'RAM', 'TPU']"
